DATASET_SHORT,KEYWORD,probability,DATASET_LONG,DATASET_NODE_ID,KEYWORD_NODE_ID
SNDRAQIML3CMCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR + MW Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Monthly V2 (SNDRAQIML3CMCCP) at GES DISC,772,1749
TOVSA5ND,precipitation rate,1.0,TOVS GLA 5 DAY GRIDS from NOAA-12 V01 (TOVSA5ND) at GES DISC,1485,1714
TOVSA5ND,surface pressure,1.0,TOVS GLA 5 DAY GRIDS from NOAA-12 V01 (TOVSA5ND) at GES DISC,1485,1668
MAT1NXSLV_CPR,skin temperature,1.0,"MERRA 2D IAU Diagnostic, Single Level Meteorology, Time Average 1-hourly 0.6 x 0.25 degree subsetted along CloudSat track V5.2.0 (MAT1NXSLV_CPR) at GES DISC",1462,1628
PET_PU_3H025,upper air temperature,1.0,RM-OBS/PU Potential Evapotranspiration and Supporting Forcing L4 3-hourly 0.25x0.25 degree V001 (PET_PU_3H025) at GES DISC,817,1670
TOVSBMNG,total precipitable water,1.0,TOVS LMD MONTHLY GRIDS from NOAA-10 V01 (TOVSBMNG) at GES DISC,1533,1685
TOVSBMNG,air temperature,1.0,TOVS LMD MONTHLY GRIDS from NOAA-10 V01 (TOVSBMNG) at GES DISC,1533,1680
GSSTF_F08,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1668
SNDRAQIL3SMCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1749
M2T1NXOCN,surface winds,1.0,"MERRA-2 tavg1_2d_ocn_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Ocean Surface Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXOCN) at GES DISC",1518,1749
ML3DBO3,aerosols,1.0,MLS/Aura Level 3 Daily Binned Ozone (O3) Mixing Ratio on Assorted Grids V005 (ML3DBO3) at GES DISC,1421,1607
SNDRJ1ML2RMS,atmospheric winds,1.0,"Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Standard: Atmosphere, precipitation and surface geophysical state V3 (SNDRJ1ML2RMS) at GES DISC",1410,1746
SNDRJ1ML2RMS,cloud properties,1.0,"Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Standard: Atmosphere, precipitation and surface geophysical state V3 (SNDRJ1ML2RMS) at GES DISC",1410,1686
SNDRJ1ML2RMS,clouds,1.0,"Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Standard: Atmosphere, precipitation and surface geophysical state V3 (SNDRJ1ML2RMS) at GES DISC",1410,1674
SNDRJ1ML2RMS,atmospheric radiation,1.0,"Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Standard: Atmosphere, precipitation and surface geophysical state V3 (SNDRJ1ML2RMS) at GES DISC",1410,1586
AIRS3ST8,surface winds,1.0,AIRS/Aqua L3 8-day Standard Physical Retrieval (AIRS-only) 1 degree X 1 degree V006 (AIRS3ST8) at GES DISC,1499,1749
GSSTFM_NCEP,surface pressure,1.0,"NCEP/DOE Reanalysis II in HDF-EOS5, for GSSTF2c, 1x1 deg Monthly grid V2c (GSSTFM_NCEP) at GES DISC",777,1668
GSSTFM_NCEP,oxygen compounds,1.0,"NCEP/DOE Reanalysis II in HDF-EOS5, for GSSTF2c, 1x1 deg Monthly grid V2c (GSSTFM_NCEP) at GES DISC",777,1633
SNDRAQIML3CDCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR + MW Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIML3CDCCP) at GES DISC,1394,1749
AIRS,vertical profiles,1.0,Atmospheric Infrared Sounder,2171,1682
M2T3NVASM,precipitation rate,1.0,"MERRA-2 tavg3_3d_asm_Nv: 3d,3-Hourly,Time-Averaged,Model-Level,Assimilation,Assimilated Meteorological Fields 0.625 x 0.5 degree V5.12.4 (M2T3NVASM) at GES DISC",1315,1714
M2T3NVASM,water vapor,1.0,"MERRA-2 tavg3_3d_asm_Nv: 3d,3-Hourly,Time-Averaged,Model-Level,Assimilation,Assimilated Meteorological Fields 0.625 x 0.5 degree V5.12.4 (M2T3NVASM) at GES DISC",1315,1630
AIRS,upper air temperature,1.0,Atmospheric Infrared Sounder,2171,1670
FLDAS_NOAH01_C_GL_M,cloud top pressure,1.0,FLDAS Noah Land Surface Model L4 Global Monthly 0.1 x 0.1 degree (MERRA-2 and CHIRPS) V001 (FLDAS_NOAH01_C_GL_M) at GES DISC,1295,1688
AIRS2SUP,surface winds,1.0,AIRS/Aqua L2 Support Retrieval (AIRS-only) V006 (AIRS2SUP) at GES DISC,847,1749
GSSTF,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 1x1 deg Daily Grid, Set1 V2c (GSSTF) at GES DISC",841,1668
UARML3AT,cloud properties,1.0,UARS Microwave Limb Sounder (MLS) Level 3AT V005 (UARML3AT) at GES DISC,1497,1686
UARML3AT,clouds,1.0,UARS Microwave Limb Sounder (MLS) Level 3AT V005 (UARML3AT) at GES DISC,1497,1674
TOVSADND,surface winds,1.0,TOVS GLA DAILY GRIDS from NOAA-12 V01 (TOVSADND) at GES DISC,1494,1749
TOVSADND,atmospheric winds,1.0,TOVS GLA DAILY GRIDS from NOAA-12 V01 (TOVSADND) at GES DISC,1494,1746
TOVSADND,precipitation rate,1.0,TOVS GLA DAILY GRIDS from NOAA-12 V01 (TOVSADND) at GES DISC,1494,1714
AIRS,surface winds,1.0,Atmospheric Infrared Sounder,2171,1749
TOVSADNH,surface winds,1.0,TOVS GLA DAILY GRIDS from NOAA-11 V01 (TOVSADNH) at GES DISC,242,1749
TOVSADNH,atmospheric winds,1.0,TOVS GLA DAILY GRIDS from NOAA-11 V01 (TOVSADNH) at GES DISC,242,1746
TOVSADNH,heat flux,1.0,TOVS GLA DAILY GRIDS from NOAA-11 V01 (TOVSADNH) at GES DISC,242,1718
M2I1NXASM,cloud properties,1.0,"MERRA-2 inst1_2d_asm_Nx: 2d,1-Hourly,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2I1NXASM) at GES DISC",240,1686
M2I1NXASM,precipitation,1.0,"MERRA-2 inst1_2d_asm_Nx: 2d,1-Hourly,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2I1NXASM) at GES DISC",240,1585
TOVSBDND,total precipitable water,1.0,TOVS LMD DAILY GRIDS from NOAA-12 V01 (TOVSBDND) at GES DISC,239,1685
TOVSBDND,air temperature,1.0,TOVS LMD DAILY GRIDS from NOAA-12 V01 (TOVSBDND) at GES DISC,239,1680
AIRS2SUP_NRT,surface winds,1.0,AIRS/Aqua L2 Near Real Time (NRT) Support Retrieval (AIRS-only) V006 (AIRS2SUP_NRT) at GES DISC,635,1749
AIRS2SUP_NRT,vertical profiles,1.0,AIRS/Aqua L2 Near Real Time (NRT) Support Retrieval (AIRS-only) V006 (AIRS2SUP_NRT) at GES DISC,635,1682
M2I1NXINT,cloud properties,1.0,"MERRA-2 inst1_2d_int_Nx: 2d,1-Hourly,Instantaneous,Single-Level,Assimilation,Vertically Integrated Diagnostics 0.625 x 0.5 degree V5.12.4 (M2I1NXINT) at GES DISC",66,1686
M2I1NXINT,upper air temperature,1.0,"MERRA-2 inst1_2d_int_Nx: 2d,1-Hourly,Instantaneous,Single-Level,Assimilation,Vertically Integrated Diagnostics 0.625 x 0.5 degree V5.12.4 (M2I1NXINT) at GES DISC",66,1670
M2I1NXINT,precipitation,1.0,"MERRA-2 inst1_2d_int_Nx: 2d,1-Hourly,Instantaneous,Single-Level,Assimilation,Vertically Integrated Diagnostics 0.625 x 0.5 degree V5.12.4 (M2I1NXINT) at GES DISC",66,1585
TOVSAMTN,surface winds,1.0,TOVS GLA MONTHLY GRIDS from TIROSN V01 (TOVSAMTN) at GES DISC,226,1749
TOVSAMTN,heat flux,1.0,TOVS GLA MONTHLY GRIDS from TIROSN V01 (TOVSAMTN) at GES DISC,226,1718
SNDRSNML3DRMS,cloud properties,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Daily V3 at GES DISC,225,1686
SNDRSNML3DRMS,total precipitable water,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Daily V3 at GES DISC,225,1685
SNDRSNML3DRMS,clouds,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Daily V3 at GES DISC,225,1674
SNDRSNML3DRMS,water vapor,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Daily V3 at GES DISC,225,1630
M2TMNXRAD,surface winds,1.0,"MERRA-2 tavgM_2d_rad_Nx: 2d,Monthly mean,Time-Averaged,Single-Level,Assimilation,Radiation Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TMNXRAD) at GES DISC",1060,1749
AIRS3STM,surface winds,1.0,AIRS/Aqua L3 Monthly Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V006 (AIRS3STM) at GES DISC,49,1749
M2TMNXSLV,longwave radiation,1.0,"MERRA-2 tavgM_2d_slv_Nx: 2d,Monthly mean,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TMNXSLV) at GES DISC",1056,1719
M2TMNXSLV,heat flux,1.0,"MERRA-2 tavgM_2d_slv_Nx: 2d,Monthly mean,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TMNXSLV) at GES DISC",1056,1718
M2TMNXSLV,cloud fraction,1.0,"MERRA-2 tavgM_2d_slv_Nx: 2d,Monthly mean,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TMNXSLV) at GES DISC",1056,1687
TOVSAMNJ,precipitation rate,1.0,TOVS GLA MONTHLY GRIDS from NOAA-14 02 (TOVSAMNJ) at GES DISC,447,1714
M2TUNXSLV,longwave radiation,1.0,"MERRA-2 tavgU_2d_slv_Nx: 2d,diurnal,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TUNXSLV) at GES DISC",748,1719
M2TUNXSLV,heat flux,1.0,"MERRA-2 tavgU_2d_slv_Nx: 2d,diurnal,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TUNXSLV) at GES DISC",748,1718
M2TUNXSLV,cloud fraction,1.0,"MERRA-2 tavgU_2d_slv_Nx: 2d,diurnal,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TUNXSLV) at GES DISC",748,1687
M2TUNXRAD,surface winds,1.0,"MERRA-2 tavgU_2d_rad_Nx: 2d,diurnal,Time-Averaged,Single-Level,Assimilation,Radiation Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TUNXRAD) at GES DISC",743,1749
TOVSAMNH,surface winds,1.0,TOVS GLA MONTHLY GRIDS from NOAA-11 V01 (TOVSAMNH) at GES DISC,738,1749
TOVSAMNH,atmospheric winds,1.0,TOVS GLA MONTHLY GRIDS from NOAA-11 V01 (TOVSAMNH) at GES DISC,738,1746
TOVSAMNH,heat flux,1.0,TOVS GLA MONTHLY GRIDS from NOAA-11 V01 (TOVSAMNH) at GES DISC,738,1718
AIRX3SP8,surface winds,1.0,AIRS/Aqua L3 8-day Support Multiday Product (AIRS+AMSU) 1 degree x 1 degree V006 (AIRX3SP8) at GES DISC,29,1749
AIRS3SPD,surface winds,1.0,AIRS/Aqua L3 Daily Support Product (AIRS-only) 1 degree x 1 degree V006 (AIRS3SPD) at GES DISC,27,1749
AIRS2RET,surface winds,1.0,Aqua/AIRS L2 Standard Physical Retrieval (AIRS-only) V7.0 at GES DISC,192,1749
TOVSA5NH,heat flux,1.0,TOVS GLA 5 DAY GRIDS from NOAA-11 V01 (TOVSA5NH) at GES DISC,23,1718
TOVSA5NH,precipitation rate,1.0,TOVS GLA 5 DAY GRIDS from NOAA-11 V01 (TOVSA5NH) at GES DISC,23,1714
TOVSA5NH,surface pressure,1.0,TOVS GLA 5 DAY GRIDS from NOAA-11 V01 (TOVSA5NH) at GES DISC,23,1668
AIRS3STD,surface winds,1.0,Aqua/AIRS L3 Daily Standard Physical Retrieval (AIRS-only) 1 degree x 1 degree V7.0 at GES DISC,723,1749
TOVSAMNG,surface winds,1.0,TOVS GLA MONTHLY GRIDS from NOAA-10 02 (TOVSAMNG) at GES DISC,189,1749
TOVSAMNG,atmospheric winds,1.0,TOVS GLA MONTHLY GRIDS from NOAA-10 02 (TOVSAMNG) at GES DISC,189,1746
TOVSAMNG,heat flux,1.0,TOVS GLA MONTHLY GRIDS from NOAA-10 02 (TOVSAMNG) at GES DISC,189,1718
TOVSB5ND,total precipitable water,1.0,TOVS LMD 5 DAY GRIDS from NOAA-12 V01 (TOVSB5ND) at GES DISC,19,1685
TOVSB5ND,air temperature,1.0,TOVS LMD 5 DAY GRIDS from NOAA-12 V01 (TOVSB5ND) at GES DISC,19,1680
AIRS3SPM,surface winds,1.0,Aqua/AIRS L3 Monthly Support Product (AIRS-only) 1 degree x 1 degree V7.0 at GES DISC,707,1749
TRMM_2A12,oxygen compounds,1.0,TRMM Microwave Imager Hydrometeor Profile L2 1.5 hours V7 (TRMM_2A12) at GES DISC,705,1633
AIRH2RET,surface winds,1.0,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (AIRH2RET) at GES DISC,402,1749
AIRH2RET,longwave radiation,1.0,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (AIRH2RET) at GES DISC,402,1719
AIRH2RET,heat flux,1.0,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (AIRH2RET) at GES DISC,402,1718
AIRH2RET,precipitation rate,1.0,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (AIRH2RET) at GES DISC,402,1714
AIRH2RET,humidity,1.0,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (AIRH2RET) at GES DISC,402,1672
AIRH2RET,water vapor,1.0,AIRS/Aqua L2 Standard Physical Retrieval (AIRS+AMSU+HSB) V006 (AIRH2RET) at GES DISC,402,1630
TOVSADTN,surface winds,1.0,TOVS GLA DAILY GRIDS from TIROSN V01 (TOVSADTN) at GES DISC,694,1749
TOVSADTN,atmospheric winds,1.0,TOVS GLA DAILY GRIDS from TIROSN V01 (TOVSADTN) at GES DISC,694,1746
TOVSADTN,precipitation rate,1.0,TOVS GLA DAILY GRIDS from TIROSN V01 (TOVSADTN) at GES DISC,694,1714
M2T1NXRAD,surface winds,1.0,"MERRA-2 tavg1_2d_rad_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Radiation Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXRAD) at GES DISC",1273,1749
M2T3NVCLD,surface temperature,1.0,"MERRA-2 tavg3_3d_cld_Nv: 3d,3-Hourly,Time-Averaged,Model-Level,Assimilation,Cloud Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T3NVCLD) at GES DISC",165,1671
M2T3NVCLD,atmospheric radiation,1.0,"MERRA-2 tavg3_3d_cld_Nv: 3d,3-Hourly,Time-Averaged,Model-Level,Assimilation,Cloud Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T3NVCLD) at GES DISC",165,1586
AIRS2RET_NRT,surface winds,1.0,AIRS/Aqua L2 Near Real Time (NRT) Standard Physical Retrieval (AIRS-only) V006 (AIRS2RET_NRT) at GES DISC,689,1749
AIRS2RET_NRT,vertical profiles,1.0,AIRS/Aqua L2 Near Real Time (NRT) Standard Physical Retrieval (AIRS-only) V006 (AIRS2RET_NRT) at GES DISC,689,1682
M2T1NXSLV,water vapor processes,1.0,"MERRA-2 tavg1_2d_slv_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXSLV) at GES DISC",1265,1722
M2T1NXSLV,longwave radiation,1.0,"MERRA-2 tavg1_2d_slv_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXSLV) at GES DISC",1265,1719
M2T1NXSLV,heat flux,1.0,"MERRA-2 tavg1_2d_slv_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXSLV) at GES DISC",1265,1718
M2T1NXSLV,precipitation rate,1.0,"MERRA-2 tavg1_2d_slv_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXSLV) at GES DISC",1265,1714
M2T1NXSLV,precipitation,1.0,"MERRA-2 tavg1_2d_slv_Nx: 2d,1-Hourly,Time-Averaged,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2T1NXSLV) at GES DISC",1265,1585
FLDAS_NOAH01_C_GL_MC,oxygen compounds,1.0,FLDAS Noah Land Surface Model L4 Global Monthly Climatology 0.1 x 0.1 degree (MERRA-2 and CHIRPS) V001 (FLDAS_NOAH01_C_GL_MC) at GES DISC,388,1633
AIRH2SUP,surface winds,1.0,Aqua/AIRS L2 Support Retrieval (AIRS+AMSU+HSB) V7.0 at GES DISC,683,1749
M2TUNXOCN,surface winds,1.0,"MERRA-2 tavgU_2d_ocn_Nx: 2d,diurnal,Time-Averaged,Single-Level,Assimilation,Ocean Surface Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TUNXOCN) at GES DISC",674,1749
M2IUNXASM,cloud properties,1.0,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1686
M2IUNXASM,precipitation,1.0,"MERRA-2 instU_2d_asm_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Single-Level Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXASM) at GES DISC",1247,1585
SNDRJ1ML2RMSSUP,atmospheric winds,1.0,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1746
SNDRJ1ML2RMSSUP,cloud properties,1.0,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1686
SNDRJ1ML2RMSSUP,clouds,1.0,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1674
SNDRJ1ML2RMSSUP,atmospheric radiation,1.0,Sounder SIPS: JPSS-1 ATMS Level 2 RAMSES2 Support V3 (SNDRJ1ML2RMSSUP) at GES DISC,378,1586
SNDRAQIL3CDCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1749
AIRH3STD,surface winds,1.0,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1749
AIRG2SSD,upper air temperature,1.0,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1670
ATMS,cloud vertical distribution,1.0,Advanced Technology Microwave Sounder,2158,1712
ML3MBO3,aerosols,1.0,MLS/Aura Level 3 Monthly Binned Ozone (O3) Mixing Ratio on Assorted Grids V005 (ML3MBO3) at GES DISC,1338,1607
TOVSA5NG,heat flux,1.0,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1718
TOVSA5NG,precipitation rate,1.0,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1714
TOVSA5NG,surface pressure,1.0,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1668
MAT3CPCLD_CPR,cloud properties,1.0,"MERRA 3D IAU Diagnostic, Cloud Properties, Time average 3-hourly subsetted along CloudSat track 0.6 x 0.25 degree V5.2.0 (MAT3CPCLD_CPR) at GES DISC",1331,1686
MAT3CPCLD_CPR,clouds,1.0,"MERRA 3D IAU Diagnostic, Cloud Properties, Time average 3-hourly subsetted along CloudSat track 0.6 x 0.25 degree V5.2.0 (MAT3CPCLD_CPR) at GES DISC",1331,1674
GSSTF_F10,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 1x1 deg Daily Grid, Satellite F10 V2c (GSSTF_F10) at GES DISC",1195,1668
SNDRSNIML2CCPRET,surface winds,1.0,Sounder SIPS: Suomi NPP CrIMSS Level 2 CLIMCAPS Full Spectral Resolution: Atmosphere cloud and surface geophysical state V2 (SNDRSNIML2CCPRET) at GES DISC,1192,1749
M2TMNXOCN,surface winds,1.0,"MERRA-2 tavgM_2d_ocn_Nx: 2d,Monthly mean,Time-Averaged,Single-Level,Assimilation,Ocean Surface Diagnostics 0.625 x 0.5 degree V5.12.4 (M2TMNXOCN) at GES DISC",1179,1749
AIRX2RET,surface winds,1.0,Aqua/AIRS  L2 Standard Physical Retrieval (AIRS+AMSU) V7.0 at GES DISC,523,1749
AIRX2RET,humidity,1.0,Aqua/AIRS  L2 Standard Physical Retrieval (AIRS+AMSU) V7.0 at GES DISC,523,1672
TOVSBMND,total precipitable water,1.0,TOVS LMD MONTHLY GRIDS from NOAA-12 V01 (TOVSBMND) at GES DISC,1174,1685
TOVSBMND,air temperature,1.0,TOVS LMD MONTHLY GRIDS from NOAA-12 V01 (TOVSBMND) at GES DISC,1174,1680
FLDAS_NOAH01_C_GL_MA,oxygen compounds,1.0,FLDAS Noah Land Surface Model L4 Global Monthly Anomaly 0.1 x 0.1 degree (MERRA-2 and CHIRPS) V001 (FLDAS_NOAH01_C_GL_MA) at GES DISC,933,1633
M2I3NVGAS,clouds,1.0,"MERRA-2 inst3_3d_gas_Nv: 3d,3-Hourly,Instantaneous,Model-Level,Assimilation,Aerosol Mixing Ratio Analysis Increments 0.625 x 0.5 degree V5.12.4 (M2I3NVGAS) at GES DISC",1171,1674
M2IUNXINT,cloud properties,1.0,"MERRA-2 instU_2d_int_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Vertically Integrated Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXINT) at GES DISC",1163,1686
M2IUNXINT,upper air temperature,1.0,"MERRA-2 instU_2d_int_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Vertically Integrated Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXINT) at GES DISC",1163,1670
M2IUNXINT,precipitation,1.0,"MERRA-2 instU_2d_int_Nx: 2d,diurnal,Instantaneous,Single-Level,Assimilation,Vertically Integrated Diagnostics 0.625 x 0.5 degree V5.12.4 (M2IUNXINT) at GES DISC",1163,1585
TOVSAMNE,heat flux,1.0,TOVS GLA MONTHLY GRIDS from NOAA-8 02 (TOVSAMNE) at GES DISC,922,1718
SNDRSNML3MRMS,cloud properties,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Monthly V3 at GES DISC,1155,1686
SNDRSNML3MRMS,total precipitable water,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Monthly V3 at GES DISC,1155,1685
SNDRSNML3MRMS,clouds,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Monthly V3 at GES DISC,1155,1674
SNDRSNML3MRMS,water vapor,1.0,Sounder SIPS: Suomi NPP ATMS Level 3 RAMSES2 Standard Gridded Monthly V3 at GES DISC,1155,1630
TOVSAMND,surface winds,1.0,TOVS GLA MONTHLY GRIDS from NOAA-12 02 (TOVSAMND) at GES DISCc,504,1749
TOVSAMND,atmospheric winds,1.0,TOVS GLA MONTHLY GRIDS from NOAA-12 02 (TOVSAMND) at GES DISCc,504,1746
TOVSAMND,heat flux,1.0,TOVS GLA MONTHLY GRIDS from NOAA-12 02 (TOVSAMND) at GES DISCc,504,1718
AIRH3SPM,surface winds,1.0,AIRS/Aqua L3 Monthly Support Product (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3SPM) at GES DISC,912,1749
TOVSADNG,surface winds,1.0,TOVS GLA DAILY GRIDS from NOAA-10 V01 (TOVSADNG) at GES DISC,1144,1749
TOVSADNG,atmospheric winds,1.0,TOVS GLA DAILY GRIDS from NOAA-10 V01 (TOVSADNG) at GES DISC,1144,1746
TOVSADNG,heat flux,1.0,TOVS GLA DAILY GRIDS from NOAA-10 V01 (TOVSADNG) at GES DISC,1144,1718
GSSTFYC,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 1x1 deg Yearly Climatology, Set1 and NCEP V2c (GSSTFYC) at GES DISC",907,1668
MAM05S0,clouds,1.0,MODIS/Aqua Total Precip Water Vapor 1km and 5km 5-Min L2 Swath Subset along MLS V002 (MAM05S0) at GES DISC,1136,1674
TOVSADNF,surface winds,1.0,TOVS GLA DAILY GRIDS from NOAA-9 V01 (TOVSADNF) at GES DISC,1037,1749
TOVSADNF,atmospheric winds,1.0,TOVS GLA DAILY GRIDS from NOAA-9 V01 (TOVSADNF) at GES DISC,1037,1746
TOVSADNF,longwave radiation,1.0,TOVS GLA DAILY GRIDS from NOAA-9 V01 (TOVSADNF) at GES DISC,1037,1719
TOVSADNF,heat flux,1.0,TOVS GLA DAILY GRIDS from NOAA-9 V01 (TOVSADNF) at GES DISC,1037,1718
TOVSADNF,surface pressure,1.0,TOVS GLA DAILY GRIDS from NOAA-9 V01 (TOVSADNF) at GES DISC,1037,1668
SNDRAQIML3SMCCP,surface winds,1.0,Sounder SIPS: AQUA AIRS IR + MW Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIML3SMCCP) at GES DISC,1029,1749
GSSTFSC,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 1x1 deg Seasonal Climatology, Set1 and NCEP V2c (GSSTFSC) at GES DISC",477,1668
GSSTF_F15,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F15 V3 (GSSTF_F15) at GES DISC",467,1668
GSSTF_F11,surface pressure,1.0,"Goddard Satellite-Based Surface Turbulent Fluxes, 1x1 deg Daily Grid, Satellite F11 V2c (GSSTF_F11) at GES DISC",347,1668
AIRH3SP8,surface winds,1.0,AIRS/Aqua L3 8-day Support Multiday Product (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3SP8) at GES DISC,989,1749
TOVSA5NF,atmospheric winds,1.0,TOVS GLA 5 DAY GRIDS from NOAA-9 V01 (TOVSA5NF) at GES DISC,987,1746
TOVSA5NF,specific humidity,1.0,TOVS GLA 5 DAY GRIDS from NOAA-9 V01 (TOVSA5NF) at GES DISC,987,1745
TOVSA5NF,precipitation rate,1.0,TOVS GLA 5 DAY GRIDS from NOAA-9 V01 (TOVSA5NF) at GES DISC,987,1714
AIRH3ST8,surface winds,1.0,AIRS/Aqua L3 8-day Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3ST8) at GES DISC,334,1749
