DATASET_SHORT,KEYWORD,probability,DATASET_LONG,DATASET_NODE_ID,KEYWORD_NODE_ID
GSSTF_F08,layered precipitable water,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1684
SBUV2N11L3zm,aerosols,0.99,SBUV2/NOAA-11 Ozone (O3) Profile and Total Column Ozone 1 Month Zonal Mean L3 Global 5.0 degree Latitude Zones V1 (SBUV2N11L3zm) at GES DISC,375,1607
SBUV2N14L2,aerosols,0.99,SBUV2/NOAA-14 Ozone (O3) Nadir Profile and Total Column 1 Day L2 V1 (SBUV2N14L2) at GES DISC,1240,1607
GSSTF_F08,outgoing longwave radiation,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1679
SNDRAQIL3CDCCP,atmospheric winds,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1746
SNDRAQIL3CDCCP,water vapor processes,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1722
SNDRAQIL3CDCCP,longwave radiation,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1719
SNDRAQIL3CDCCP,heat flux,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1718
SNDRAQIL3CDCCP,humidity,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1672
SNDRAQIL3CDCCP,water vapor,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1630
SNDRAQIL3CDCCP,soil moisture/water content,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1626
SNDRAQIL3CDCCP,soils,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS : Comprehensive Quality Control Gridded Daily V2 (SNDRAQIL3CDCCP) at GES DISC,1239,1625
MATUCPQDT,surface pressure,0.99,"tavgU_3d_qdt_Cp: MERRA 3D IAU Tendency, Specific Humidity, Diurnal  1.25 x 1.25 degree V5.2.0 (MATUCPQDT) at GES DISC",374,1668
MATUCPQDT,atmospheric pressure,0.99,"tavgU_3d_qdt_Cp: MERRA 3D IAU Tendency, Specific Humidity, Diurnal  1.25 x 1.25 degree V5.2.0 (MATUCPQDT) at GES DISC",374,1665
AIRS,water vapor processes,0.99,Atmospheric Infrared Sounder,2171,1722
MAT3FXCHM,surface pressure,0.99,"tavg3_2d_chm_Fx: MERRA Chem 2D IAU Diagnostics, Fluxes and Meteorology, Time Average 3-hourly  1.25 x 1 degree V5.2.0 (MAT3FXCHM) at GES DISC",1236,1668
MAT3FXCHM,atmospheric pressure,0.99,"tavg3_2d_chm_Fx: MERRA Chem 2D IAU Diagnostics, Fluxes and Meteorology, Time Average 3-hourly  1.25 x 1 degree V5.2.0 (MAT3FXCHM) at GES DISC",1236,1665
MAT3CPODT,surface pressure,0.99,"tavg3_3d_odt_Cp: MERRA 3D IAU Tendency, Ozone, Time average 3-hourly  1.25 x 1.25 degree V5.2.0 (MAT3CPODT) at GES DISC",889,1668
MAT3CPODT,atmospheric pressure,0.99,"tavg3_3d_odt_Cp: MERRA 3D IAU Tendency, Ozone, Time average 3-hourly  1.25 x 1.25 degree V5.2.0 (MAT3CPODT) at GES DISC",889,1665
RAIN_CHANG,oxygen compounds,0.99,Chang SSM/I Derived Monthly Rain Indices 5 x 5 degree V2.3 (RAIN_CHANG) at GES DISC,1343,1633
GSSTF_F08,water vapor profiles,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1673
AIRH3STD,wind dynamics,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1751
AIRH3STD,atmospheric winds,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1746
AIRH3STD,longwave radiation,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1719
AIRH3STD,heat flux,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1718
AIRH3STD,precipitation rate,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1714
AIRH3STD,cloud fraction,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1687
AIRH3STD,precipitation,0.99,AIRS/Aqua L3 Daily Standard Physical Retrieval (AIRS+AMSU+HSB) 1 degree x 1 degree V006 (AIRH3STD) at GES DISC,888,1585
TIROS3L1ORT,total precipitable water,0.99,TIROS-3 Low-Resolution Omnidirectional Radiometer Level 1 Temperature Data V001 (TIROS3L1ORT) at GES DISC,1233,1685
GSSTF_F08,oxygen compounds,0.99,"Goddard Satellite-Based Surface Turbulent Fluxes, 0.25 x 0.25 deg, Daily Grid F08 V3 (GSSTF_F08) at GES DISC",1436,1633
AIRG2SSD,longwave radiation,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1719
AIRG2SSD,humidity,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1672
AIRG2SSD,surface temperature,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1671
AIRG2SSD,surface pressure,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1668
AIRG2SSD,atmospheric pressure,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1665
AIRG2SSD,water vapor,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1630
AIRG2SSD,atmospheric radiation,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1586
AIRG2SSD,atmospheric water vapor,0.99,AIRS/Aqua L2G Precipitation Estimate V006 (AIRG2SSD) at GES DISC,1339,1584
SNDRAQIL3SMCCP,atmospheric winds,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1746
SNDRAQIL3SMCCP,water vapor processes,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1722
SNDRAQIL3SMCCP,longwave radiation,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1719
SNDRAQIL3SMCCP,heat flux,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1718
SNDRAQIL3SMCCP,humidity,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1672
SNDRAQIL3SMCCP,water vapor,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1630
TMI,geopotential height,0.99,TRMM Microwave Imager,2156,1705
TOVSA5NG,surface winds,0.99,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1749
TOVSA5NG,atmospheric winds,0.99,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1746
TOVSA5NG,specific humidity,0.99,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1745
TOVSA5NG,longwave radiation,0.99,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1719
SNDRAQIL3SMCCP,soil moisture/water content,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1626
SNDRAQIL3SMCCP,soils,0.99,Sounder SIPS: AQUA AIRS IR-only Level 3 CLIMCAPS: Specific Quality Control Gridded Monthly V2 (SNDRAQIL3SMCCP) at GES DISC,1528,1625
BUVN4L3ZMT,aerosols,0.99,BUV/Nimbus-4 Level 3 Ozone Zonal Means V005 (BUVN4L3ZMT) at GES DISC,1525,1607
TOVSA5NG,water vapor,0.99,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1630
TOVSA5NG,aerosols,0.99,TOVS GLA 5 DAY GRIDS from NOAA-10 V01 (TOVSA5NG) at GES DISC,1226,1607
TIROS4L1ORR,total precipitable water,0.99,TIROS-4 Low-Resolution Omnidirectional Radiometer Level 1 Radiance Data V001 (TIROS4L1ORR) at GES DISC,1428,1685
