Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
GEOS_CASAGFED_M_FLUX,GEOS-Carb CASA-GFED Monthly Fire Fuel NPP Rh NEE Fluxes 0.5 degree x 0.5 degree V3,3,10.5067/03147VMJE8J9,COMPLETE,4,1 month,62 MB per file,netCDF,2020-02-14T00:00:00.000Z,2003-01-01T00:00:00.000Z,2017-12-31T23:59:59.999Z,CMS,THOMAS HEARTY,,,,,,,,,OPENDAP,,
GFEI_CH4,Global Inventory of Methane Emissions from Fuel Exploitation,1,10.5067/Q28GFYJYFZ7H,COMPLETE,4,1 year,0.1 MB per file,netCDF,2021-10-08T00:00:00.000Z,2016-01-01T00:00:00.000Z,2016-12-31T23:59:59.999Z,CMS,THOMAS HEARTY,,,,,,,,,OPENDAP,,
GLDAS_CLM10SUBP_3H,GLDAS CLM Land Surface Model L4 3 hourly 1.0 x 1.0 degree Subsetted V001,001,10.5067/83NO2QDLG6M0,ACTIVE,4,3 hours,1 MB per file,GRIB,2007-08-16T00:00:00.000Z,1979-01-02T00:00:00.000Z,2020-03-31T23:59:59.999Z,GLDAS,DAVID SILBERSTEIN,,,,,,,,,,,
GLDAS_CLSM025_DA1_D,GLDAS Catchment Land Surface Model L4 daily 0.25 x 0.25 degree GRACE-DA1 V2.2,2.2,10.5067/TXBMLX370XX8,COMPLETE,4,1 day,21 MB per file,netCDF,2020-02-25T00:00:00.000Z,2003-02-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_CLSM025_DA1_D_EP,GLDAS Catchment Land Surface Model L4 daily 0.25 x 0.25 degree GRACE-DA1 Early Product V2.2,2.2,10.5067/IIU5JWU2AGRP,COMPLETE,4,1 day,21 MB per file,netCDF,2020-02-25T00:00:00.000Z,2020-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_CLSM025_D,GLDAS Catchment Land Surface Model L4 daily 0.25 x 0.25 degree V2.0,2,10.5067/LYHA9088MFWQ,COMPLETE,4,1 day,26 MB per file,netCDF,2018-02-01T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-30T23:59:59.999Z,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_CLSM10_3H,GLDAS Catchment Land Surface Model L4 3 hourly 1.0 x 1.0 degree V2.0,2,10.5067/T3BX5Y6QK5FO,COMPLETE,4,3 hour,1.7 MB per file,netCDF,2020-08-01T00:00:00.000Z,1948-01-01T03:00:00.000Z,2014-12-31T21:00:00.000Z,GLDAS,HUALAN RUI,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_CLSM10_3H,GLDAS Catchment Land Surface Model L4 3 hourly 1.0 x 1.0 degree V2.1,2.1,10.5067/VCO8OCV72XO0,COMPLETE,4,3 hour,2 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_CLSM10_3H_EP,GLDAS Catchment Land Surface Model L4 3 hourly 1.0 x 1.0 degree Early Product V2.1,2.1,10.5067/W024WFHJXZ0E,COMPLETE,4,1 day,2 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_CLSM10_M,GLDAS Catchment Land Surface Model L4 monthly 1.0 x 1.0 degree V2.0,2,10.5067/SGSL3LNKGJWW,COMPLETE,4,1 month,2.3 MB per file,netCDF,2020-08-01T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-31T23:59:59.999Z,GLDAS,HUALAN RUI,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_CLSM10_M,GLDAS Catchment Land Surface Model L4 monthly 1.0 x 1.0 degree V2.1,2.1,10.5067/FOUXNLXFAZNY,COMPLETE,4,1 month,2 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_CLSM10_M_EP,GLDAS Catchment Land Surface Model L4 monthly 1.0 x 1.0 degree Early Product V2.1,2.1,10.5067/1LQF1ORIE8OW,COMPLETE,4,1 month,2 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_NOAH025_3H,GLDAS Noah Land Surface Model L4 3 hourly 0.25 x 0.25 degree V2.0,2,10.5067/342OHQM9AK6Q,COMPLETE,4,3 hours,18 MB per file,netCDF,2019-11-19T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-31T23:59:59.999Z,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH025_3H,GLDAS Noah Land Surface Model L4 3 hourly 0.25 x 0.25 degree V2.1,2.1,10.5067/E7TYRXPJKWOQ,ACTIVE,4,3 hours,19 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH025_3H_EP,GLDAS Noah Land Surface Model L4 3 hourly 0.25 x 0.25 degree Early Product V2.1,2.1,10.5067/G90R32A924YM,ACTIVE,4,3 hours,19 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_NOAH025_M,GLDAS Noah Land Surface Model L4 monthly 0.25 x 0.25 degree V2.0,2,10.5067/9SQ1B3ZXP2C5,COMPLETE,4,1 month,24 MB per file,netCDF,2019-11-19T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-31T23:59:59.999Z,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH025_M,GLDAS Noah Land Surface Model L4 monthly 0.25 x 0.25 degree V2.1,2.1,10.5067/SXAVCZFAQLNO,ACTIVE,4,1 month,21 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH025_M_EP,GLDAS Noah Land Surface Model L4 monthly 0.25 x 0.25 degree Early Product V2.1,2.1,10.5067/5OVHMFF2IAV3,ACTIVE,4,1 month,21 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_NOAH10_3H,GLDAS Noah Land Surface Model L4 3 hourly 1.0 x 1.0 degree V2.0,2,10.5067/L0JGCNVBNRAX,COMPLETE,4,3 hours,2 MB per file,netCDF,2019-11-19T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-31T23:59:59.999Z,GLDAS,HUALAN RUI,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH10_3H,GLDAS Noah Land Surface Model L4 3 hourly 1.0 x 1.0 degree V2.1,2.1,10.5067/IIG8FHR17DA9,ACTIVE,4,3 hours,2 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH10_3H_EP,GLDAS Noah Land Surface Model L4 3 hourly 1.0 x 1.0 degree Early Product V2.1,2.1,10.5067/7FK9SEEE6VP3,ACTIVE,4,3 hours,2 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_NOAH10_M,GLDAS Noah Land Surface Model L4 monthly 1.0 x 1.0 degree V2.0,2,10.5067/QN80TO7ZHFJZ,COMPLETE,4,1 month,2 MB per file,netCDF,2019-11-19T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-31T23:59:59.999Z,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH10_M,GLDAS Noah Land Surface Model L4 monthly 1.0 x 1.0 degree V2.1,2.1,10.5067/LWTYSMP3VM5Z,ACTIVE,4,1 month,2 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,GIOVANNI,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_NOAH10_M_EP,GLDAS Noah Land Surface Model L4 monthly 1.0 x 1.0 degree Early Product V2.1,2.1,10.5067/MCM8JKVDO3W3,ACTIVE,4,1 month,2 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,HUALAN RUI,,L34RS,,,,,,,OPENDAP,,
GLDAS_VIC10_3H,GLDAS VIC Land Surface Model L4 3 hourly 1.0 x 1.0 degree V2.0,2,10.5067/B6OMXPRI022J,ACTIVE,4,3 hours,1.7 MB per file,netCDF,2020-01-30T00:00:00.000Z,1948-01-01T03:00:00.000Z,2014-12-31T21:00:00.000Z,GLDAS,Hualan Rui,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_VIC10_3H,GLDAS VIC Land Surface Model L4 3 hourly 1.0 x 1.0 degree V2.1,2.1,10.5067/ZOG6BCSE26HV,ACTIVE,4,3 hours,2 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,Hualan Rui,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_VIC10_3H_EP,GLDAS VIC Land Surface Model L4 3 hourly 1.0 x 1.0 degree Early Product V2.1,2.1,10.5067/KMPD4R2A549N,ACTIVE,4,3 hours,2 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,Hualan Rui,,L34RS,,,,,,,OPENDAP,,
GLDAS_VIC10_M,GLDAS VIC Land Surface Model L4 monthly 1.0 x 1.0 degree V2.0,2,10.5067/ZRIHVF29X43C,ACTIVE,4,1 month,2 MB per file,netCDF,2020-08-01T00:00:00.000Z,1948-01-01T00:00:00.000Z,2014-12-31T23:59:59.000Z,GLDAS,Hualan Rui,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_VIC10_M,GLDAS VIC Land Surface Model L4 monthly 1.0 x 1.0 degree V2.1,2.1,10.5067/VWTH7S6218SG,ACTIVE,4,1 month,2 MB per file,netCDF,2020-01-30T00:00:00.000Z,2000-01-01T00:00:00.000Z,,GLDAS,Hualan Rui,,L34RS,,,,,,THREDDS,OPENDAP,GRADS SERVER GDS,
GLDAS_VIC10_M_EP,GLDAS VIC Land Surface Model L4 monthly 1.0 x 1.0 degree Early Product V2.1,2.1,10.5067/472GKYTU73QR,ACTIVE,4,1 month,2 MB per file,netCDF,2020-02-18T00:00:00.000Z,2019-12-01T00:00:00.000Z,,GLDAS,Hualan Rui,,L34RS,,,,,,,OPENDAP,,
GMAO_M2SCREAM_INST3_CHEM,M2-SCREAM: 3d3-HourlyInstantaneousModel-LevelAssimilationAssimilated Constituent FieldsReplayed MERRA-2 Meteorological Fields,1,10.5067/7PR3XRD6Q3NQ,COMPLETE,4,1 day,240 MB per file,netCDF,2022-06-21T00:00:00.000Z,2004-09-01T00:00:00.000Z,,MERRA-2 Observation,Kristan Morgan,,,,,,,,,OPENDAP,,
GMAO_M2SCREAM_MONTH_UNCERT,M2-SCREAM: MonthlyModel-LevelAssimilated Constituent Fields uncertainties,1,10.5067/7XRIJO9OP8PE,COMPLETE,4,1 day,200 MB per file,netCDF,2022-06-21T00:00:00.000Z,2004-09-01T00:00:00.000Z,,MERRA-2 Observation,Kristan Morgan,,,,,,,,,OPENDAP,,
GOME_MINDS_NO2,GOME/ERS-2 NO2 Tropospheric Stratospheric and Total Columns MINDS 1-Orbit L2 Swath 40 km x 320 km,1.1,10.5067/MEASURES/MINDS/DATA202,ACTIVE,2,100 minutes,0.61 MB per file,netCDF,,1995-06-30T01:36:31.000Z,2003-06-22T12:31:19.000Z,MEaSUREs,Feng Ding,L2,,,,,,,,OPENDAP,,
GPCPDAY,GPCP Version 3.1 Daily Precipitation Data Set,3.1,10.5067/MEASURES/GPCP/DATA303,COMPLETE,3,1 day,0.61 MB per file,netCDF,2021-06-09T00:00:00.000Z,2000-06-01T00:00:00.000Z,2019-12-31T23:59:59.999Z,MEaSUREs,Zhong Liu,,,,GIOVANNI,,,,,OPENDAP,,
GPCPDAY,GPCP Version 3.2 Daily Precipitation Data Set,3.2,10.5067/MEASURES/GPCP/DATA305,COMPLETE,3,1 day,1.6 MB per file,netCDF,2022-02-02T00:00:00.000Z,2000-06-01T00:00:00.000Z,2021-09-30T23:59:59.999Z,MEaSUREs,Zhong Liu,,,,GIOVANNI,,,,,OPENDAP,,
GPCPMON,GPCP Precipitation Level 3 Monthly 0.5-Degree V3.0 beta,3,10.5067/TTO0VJF2FSYR,COMPLETE,3,1 month,5 MB per file,netCDF,2019-03-08T00:00:00.000Z,1983-01-01T00:00:00.000Z,2016-12-31T23:59:59.999Z,MEaSUREs,ZHONG LIU,,,,GIOVANNI,,,,,OPENDAP,,
GPCPMON,GPCP Version 3.1 Satellite-Gauge (SG) Combined Precipitation Data Set,3.1,10.5067/DBVUO4KQHXTK,COMPLETE,3,1 month,6.5 MB per file,netCDF,2020-07-30T00:00:00.000Z,1983-01-01T00:00:00.000Z,2019-12-31T23:59:59.999Z,MEaSUREs,ZHONG LIU,,,,GIOVANNI,,,,,OPENDAP,,
GPCPMON,GPCP Version 3.2 Satellite-Gauge (SG) Combined Precipitation Data Set,3.2,10.5067/MEASURES/GPCP/DATA304,COMPLETE,3,1 month,7 MB per file,netCDF,2022-02-02T00:00:00.000Z,1983-01-01T00:00:00.000Z,2023-03-31T23:59:59.999Z,MEaSUREs,ZHONG LIU,,,,GIOVANNI,,,,,OPENDAP,,
GPM_1AGMI,GPM GMI unpacked data L1A 1.5 hours 13 km V05,05,10.5067/GPM/GMI/1A/05,ACTIVE,1A,1.5 hours,172 MB per file,HDF5,2016-03-03T00:00:00.000Z,2014-03-04T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1AGMI,GPM GMI unpacked data L1A 1.5 hours 13 km V07,07,10.5067/GPM/GMI/1A/07,ACTIVE,1A,1.5 hours,172 MB per file,HDF5,2022-05-09T00:00:00.000Z,2014-03-04T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1ATMI,GPM TMI on TRMM unpacked data L1A 1.5 hours 13 km V05,05,10.5067/GPM/TMI/TRMM/1A/05,COMPLETE,1A,1.5 hours,33 MB per file,HDF5,2017-10-02T00:00:00.000Z,1997-12-07T00:00:00.000Z,2015-04-08T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1ATMI,GPM TMI on TRMM unpacked data L1A 1.5 hours 13 km V07,07,10.5067/GPM/TMI/TRMM/1A/07,COMPLETE,1A,1.5 hours,33 MB per file,HDF5,2021-07-29T00:00:00.000Z,1997-12-07T00:00:00.000Z,2015-04-08T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1AVIRS,GPM VIRS on TRMM unpacked data L1A 1.5 hours 2 km V05,05,10.5067/GPM/VIRS/TRMM/1A/05,COMPLETE,1A,1.5 hours,131 MB per file,HDF5,2017-10-02T00:00:00.000Z,1997-12-20T00:00:00.000Z,2014-03-21T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1AVIRS,GPM VIRS on TRMM unpacked data L1A 1.5 hours 2 km V07,07,10.5067/GPM/VIRS/TRMM/1A/07,COMPLETE,1A,1.5 hours,131 MB per file,HDF5,2021-07-29T00:00:00.000Z,1997-12-20T00:00:00.000Z,2014-03-21T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1BGMI,GPM GMI Brightness Temperatures L1B 1.5 hours 13 km V05,05,10.5067/GPM/GMI/GPM/1B/05,ACTIVE,1B,1.5 hours,172 MB per file,HDF5,2016-03-03T00:00:00.000Z,2014-03-04T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BGMI,GPM GMI Brightness Temperatures L1B 1.5 hours 13 km V07,07,10.5067/GPM/GMI/GPM/1B/07,ACTIVE,1B,1.5 hours,172 MB per file,HDF5,2022-05-09T00:00:00.000Z,2014-03-04T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BPR,GPM PR on TRMM Echo Power L1B 1.5 hours 5 km V05,05,10.5067/GPM/PR/TRMM/1B/05,COMPLETE,1B,1.5 hours,80 MB per file,HDF5,2017-10-02T00:00:00.000Z,1997-12-07T00:00:00.000Z,2015-04-01T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BPR,GPM PR on TRMM Echo Power L1B 1.5 hours 5 km V07,07,10.5067/GPM/PR/TRMM/1B/07,COMPLETE,1B,1.5 hours,80 MB per file,HDF5,2021-07-29T00:00:00.000Z,1997-12-07T00:00:00.000Z,2015-04-01T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BTMI,GPM TMI on TRMM Brightness Temperatures L1B 1.5 hours 13 km V05,05,10.5067/GPM/TMI/TRMM/1B/05,COMPLETE,1B,1.5 hours,6 MB per file,HDF5,2017-10-02T00:00:00.000Z,1997-12-07T00:00:00.000Z,2015-04-08T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BTMI,GPM TMI on TRMM Brightness Temperatures L1B 1.5 hours 13 km V07,07,10.5067/GPM/TMI/TRMM/1B/07,COMPLETE,1B,1.5 hours,6 MB per file,HDF5,2021-07-29T00:00:00.000Z,1997-12-07T00:00:00.000Z,2015-04-08T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BVIRS,GPM VIRS on TRMM Radiance L1B 1.5 hours 2 km V05,05,10.5067/GPM/VIRS/TRMM/1B/05,COMPLETE,1B,1.5 hours,27 MB per file,HDF5,2017-10-02T00:00:00.000Z,1997-12-20T00:00:00.000Z,2014-03-21T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1BVIRS,GPM VIRS on TRMM Radiance L1B 1.5 hours 2 km V07,07,10.5067/GPM/VIRS/TRMM/1B/07,COMPLETE,1B,1.5 hours,27 MB per file,HDF5,2021-07-29T00:00:00.000Z,1997-12-20T00:00:00.000Z,2014-03-21T23:59:59.999Z,TRMM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CAQUAAMSRE,GPM AMSR-E on AQUA Common Calibrated Brightness Temperatures L1C 1.5 hours 10.5 km V05,05,10.5067/GPM/AMSRE/AQUA/1C/05,COMPLETE,1,1.5 hours,27 MB per file,HDF5,2017-10-02T00:00:00.000Z,2002-06-01T00:00:00.000Z,2011-10-04T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CAQUAAMSRE,GPM AMSR-E on AQUA Common Calibrated Brightness Temperatures L1C 1.5 hours 10.5 km V07,07,10.5067/GPM/AMSRE/AQUA/1/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,2002-06-01T00:00:00.000Z,2011-10-04T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF08SSMI,GPM SSMI on F08 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V06,06,10.5067/GPM/SSMI/F08/1C/06,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2018-10-31T00:00:00.000Z,1987-07-09T00:00:00.000Z,1991-12-31T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF08SSMI,GPM SSMI on F08 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V07,07,10.5067/GPM/SSMI/F08/1C/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,1987-07-09T00:00:00.000Z,1991-12-31T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF10SSMI,GPM SSMI on F10 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V06,06,10.5067/GPM/SSMI/F10/1C/06,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2018-10-31T00:00:00.000Z,1990-12-08T00:00:00.000Z,1997-11-14T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF10SSMI,GPM SSMI on F10 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V07,07,10.5067/GPM/SSMI/F10/1C/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,1990-12-08T00:00:00.000Z,1997-11-14T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF11SSMI,GPM SSMI on F11 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V06,06,10.5067/GPM/SSMI/F11/1C/06,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2018-10-31T00:00:00.000Z,1991-12-03T00:00:00.000Z,2000-05-16T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF11SSMI,GPM SSMI on F11 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V07,07,10.5067/GPM/SSMI/F11/1C/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,1991-12-03T00:00:00.000Z,2000-05-16T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF13SSMI,GPM SSMI on F13 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V06,06,10.5067/GPM/SSMI/F13/1C/06,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2018-10-31T00:00:00.000Z,1995-05-03T00:00:00.000Z,2009-11-20T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF13SSMI,GPM SSMI on F13 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V07,07,10.5067/GPM/SSMI/F13/1C/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,1995-05-03T00:00:00.000Z,2009-11-20T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF14SSMI,GPM SSMI on F14 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V06,06,10.5067/GPM/SSMI/F14/1C/06,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2018-10-31T00:00:00.000Z,1997-05-07T00:00:00.000Z,2008-08-24T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF14SSMI,GPM SSMI on F14 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V07,07,10.5067/GPM/SSMI/F14/1C/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,1997-05-07T00:00:00.000Z,2008-08-24T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF15SSMI,GPM SSMI on F15 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V06,06,10.5067/GPM/SSMI/F15/1C/06,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2018-10-31T00:00:00.000Z,2000-02-23T00:00:00.000Z,2006-08-14T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF15SSMI,GPM SSMI on F15 Common Calibrated Brightness Temperatures L1C 1.5 hours 13 km V07,07,10.5067/GPM/SSMI/F15/1C/07,COMPLETE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,2000-02-23T00:00:00.000Z,2006-08-14T23:59:59.999Z,GPM,ANDREY SAVTCHENKO,,,,,,,,,,,
GPM_1CF16SSMIS,GPM SSMIS on F16 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V05,05,10.5067/GPM/SSMIS/F16/1C/05,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2016-03-03T00:00:00.000Z,2005-11-20T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF16SSMIS,GPM SSMIS on F16 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V07,07,10.5067/GPM/SSMIS/F16/1C/07,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,2005-11-20T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF17SSMIS,GPM SSMIS on F17 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V05,05,10.5067/GPM/SSMIS/F17/1C/05,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2016-03-03T00:00:00.000Z,2008-03-19T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF17SSMIS,GPM SSMIS on F17 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V07,07,10.5067/GPM/SSMIS/F17/1C/07,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,2008-03-19T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF18SSMIS,GPM SSMIS on F18 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V05,05,10.5067/GPM/SSMIS/F18/1C/05,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2016-03-03T00:00:00.000Z,2010-03-08T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF18SSMIS,GPM SSMIS on F18 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V07,07,10.5067/GPM/SSMIS/F18/1C/07,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2021-07-29T00:00:00.000Z,2010-03-08T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
GPM_1CF19SSMIS,GPM SSMIS on F19 Common Calibrated Brightness Temperatures L1C 1.5 hours 12 km V05,05,10.5067/GPM/SSMIS/F19/1C/05,ACTIVE,1,1.5 hours,24 MB per file,HDF5,2016-03-03T00:00:00.000Z,2014-12-18T00:00:00.000Z,,GPM,ANDREY SAVTCHENKO,,,,,,,,,OPENDAP,,
