Collection,Title,Version,DOI,Dataset Progress,Level,Granularity,Granule Size,Format,Creation Date,Data Start Date,Data End Date,Mission/Project,Metadata Author,L2,L34RS,GeoTiff,Giovanni,AIRS L1L2,WCS,WMS,THREDDS,OPeNDAP,GDS,Worldview
S5P_L1B_RA_BD8,Sentinel-5P TROPOMI L1B Radiance product band 8 (SWIR detector),1,10.5067/SENTINEL5P/S5P_L1B_RA_BD8.1,ACTIVE,1B,91.5 minutes,2.6 GB per file,netCDF,2018-08-23T00:00:00.000Z,2018-04-30T00:00:00.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,,,,,,,,,OPENDAP,,
S5P_L1B_RA_BD8,Sentinel-5P TROPOMI L1B Radiance product band 8 (SWIR detector),2,10.5270/S5P-kb39wni,ACTIVE,1B,91.5 minutes,2.6 GB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:00:00.000Z,,Sentinel-5P,Jian Zeng,,,,,,,,,OPENDAP,,
S5P_L1B_RA_BD8_HiR,Sentinel-5P TROPOMI L1B Radiance product band 8 (SWIR detector) 5.5km x 7km,1,10.5067/SENTINEL5P/S5P_L1B_RA_BD8_HiR.1,ACTIVE,1B,91.5 minutes,1.9 GB per file,netCDF,2019-08-06T00:00:00.000Z,2019-08-06T02:41:41.000Z,2021-07-01T18:23:22.000Z,Sentinel-5P,Jian Zeng,,,,,,,,,OPENDAP,,
S5P_L1B_RA_BD8_HiR,Sentinel-5P TROPOMI L1B Radiance product band 8 (SWIR detector) 5.5km x 7km,2,10.5270/S5P-kb39wni,ACTIVE,1B,91.5 minutes,1.9 GB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:19:50.000Z,,Sentinel-5P,Jian Zeng,,,,,,,,,OPENDAP,,
S5P_L2__AER_AI,Sentinel-5P TROPOMI Aerosol Index 1-Orbit L2 7km x 3.5km,1,10.5270/S5P-0wafvaf,ACTIVE,2,91.5 minutes,123 MB per file,netCDF,2018-08-23T00:00:00.000Z,2018-06-28T00:00:00.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__AER_AI_HiR,Sentinel-5P TROPOMI Aerosol Index 1-Orbit L2 5.5km x 3.5km,1,10.5270/S5P-0wafvaf,ACTIVE,2,91.5 minutes,169 MB per file,netCDF,2019-08-19T00:00:00.000Z,2019-08-06T02:41:41.000Z,2021-07-01T18:23:22.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__AER_AI_HiR,Sentinel-5P TROPOMI Aerosol Index 1-Orbit L2 5.5km x 3.5km,2,10.5270/S5P-3dgz66p,ACTIVE,2,91.5 minutes,169 MB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:41:24.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__AER_LH,Sentinel-5P TROPOMI Aerosol Layer Height 1-Orbit L2 7km x 3.5km,1,10.5270/S5P-j7aj4gr,ACTIVE,2,101.5 minutes,330 MB per file,netCDF,2019-10-09T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__AER_LH_HiR,Sentinel-5P TROPOMI Aerosol Layer Height 1-Orbit L2 5.5km x 3.5km,1,10.5270/S5P-j7aj4gr,ACTIVE,2,101.5 minutes,413 MB per file,netCDF,2019-10-09T00:00:00.000Z,2019-08-06T02:41:41.000Z,2021-07-01T18:23:22.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__AER_LH_HiR,Sentinel-5P TROPOMI Aerosol Layer Height 1-Orbit L2 5.5km x 3.5km,2,10.5270/S5P-7g4iapn,ACTIVE,2,101.5 minutes,413 MB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:41:23.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CH4___,Sentinel-5P TROPOMI Methane CH4 1-Orbit L2 7km x 7km,1,10.5270/S5P-3p6lnwd,ACTIVE,2,101.5 minutes,65 MB per file,netCDF,2019-03-28T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CH4____HiR,Sentinel-5P TROPOMI Methane CH4 1-Orbit L2 5.5km x 7km,1,10.5270/S5P-3p6lnwd,ACTIVE,2,101.5 minutes,82 MB per file,netCDF,2019-08-19T00:00:00.000Z,2019-08-06T02:41:41.000Z,2021-07-01T18:23:22.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CH4____HiR,Sentinel-5P TROPOMI Methane CH4 1-Orbit L2 5.5km x 7km,2,10.5270/S5P-3lcdqiv,ACTIVE,2,101.5 minutes,82 MB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:41:24.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CLOUD_,Sentinel-5P TROPOMI Cloud 1-Orbit L2 7km x 3.5km,1,10.5270/S5P-ry8kaa5,ACTIVE,2,91.5 minutes,257 MB per file,netCDF,2018-08-23T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CLOUD__HiR,Sentinel-5P TROPOMI Cloud 1-Orbit L2 5.5km x 3.5km,1,10.5270/S5P-ry8kaa5,ACTIVE,2,91.5 minutes,321 MB per file,netCDF,2019-08-19T00:00:00.000Z,2019-08-06T02:41:41.000Z,2020-07-13T00:05:59.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CLOUD__HiR,Sentinel-5P TROPOMI Cloud 1-Orbit L2 5.5km x 3.5km,2,10.5270/S5P-w1qgt16,ACTIVE,2,91.5 minutes,321 MB per file,netCDF,2020-07-31T00:00:00.000Z,2018-04-30T00:00:00.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CO____,Sentinel-5P TROPOMI Carbon Monoxide CO Column 1-Orbit L2 7km x 7km,1,10.5270/S5P-1hkp7rp,ACTIVE,2,91.5 minutes,109 MB per file,netCDF,2018-08-23T00:00:00.000Z,2018-04-30T00:41:24.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CO_____HiR,Sentinel-5P TROPOMI Carbon Monoxide CO Column 1-Orbit L2 5.5km x 7km,1,10.5270/S5P-1hkp7rp,ACTIVE,2,91.5 minutes,175 MB per file,netCDF,2019-08-19T00:00:00.000Z,2019-08-06T02:41:41.000Z,2021-07-01T18:23:22.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__CO_____HiR,Sentinel-5P TROPOMI Carbon Monoxide CO Column 1-Orbit L2 5.5km x 7km,2,10.5270/S5P-bj3nry0,ACTIVE,2,91.5 minutes,175 MB per file,netCDF,2021-07-05T00:00:00.000Z,2018-04-30T00:41:24.000Z,,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
S5P_L2__HCHO__,Sentinel-5P TROPOMI Tropospheric Formaldehyde HCHO 1-Orbit L2 7km x 3.5km,1,10.5270/S5P-tjlxfd2,ACTIVE,2,101.5 minutes,545 MB per file,netCDF,2019-01-31T00:00:00.000Z,2018-05-14T01:20:22.000Z,2019-08-06T01:58:34.000Z,Sentinel-5P,Jian Zeng,L2,,,,,,,,OPENDAP,,
